#options: 1080x1080 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=11848 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:13.44 aq:4.90 tex:990623 mv:102234 misc:343 imb:4624 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:14.16 aq:5.90 tex:1087331 mv:25795 misc:474 imb:1647 pmb:2971 smb:6 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:14.16 aq:7.31 tex:570626 mv:24441 misc:653 imb:515 pmb:4085 smb:24 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:14.16 aq:8.45 tex:307824 mv:20802 misc:1222 imb:341 pmb:4130 smb:153 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:14.16 aq:8.54 tex:419885 mv:20148 misc:815 imb:384 pmb:4169 smb:71 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:14.07 aq:6.04 tex:1052002 mv:25052 misc:466 imb:1664 pmb:2952 smb:8 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:14.12 aq:7.33 tex:574043 mv:24452 misc:705 imb:551 pmb:4034 smb:39 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:14.14 aq:8.71 tex:341042 mv:16619 misc:1195 imb:246 pmb:4231 smb:147 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:14.09 aq:8.53 tex:355591 mv:22553 misc:1144 imb:414 pmb:4069 smb:141 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:13.95 aq:5.61 tex:1076471 mv:26986 misc:527 imb:2601 pmb:2015 smb:8 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:14.01 aq:7.27 tex:695410 mv:26256 misc:622 imb:625 pmb:3965 smb:34 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:14.04 aq:8.48 tex:411861 mv:20249 misc:1034 imb:371 pmb:4123 smb:130 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:13.98 aq:8.44 tex:441018 mv:20855 misc:1023 imb:414 pmb:4098 smb:112 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:17.95 aq:9.49 tex:588943 mv:24124 misc:461 imb:1730 pmb:2884 smb:10 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:15.95 aq:8.88 tex:422631 mv:19994 misc:751 imb:392 pmb:4173 smb:59 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:14.95 aq:9.41 tex:271129 mv:16784 misc:1799 imb:284 pmb:4036 smb:304 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:16.95 aq:11.25 tex:205774 mv:18385 misc:1769 imb:293 pmb:4010 smb:321 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:17.80 aq:9.57 tex:601466 mv:25060 misc:530 imb:1518 pmb:3074 smb:32 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:17.87 aq:11.06 tex:289641 mv:22129 misc:1222 imb:430 pmb:4020 smb:174 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:17.91 aq:12.13 tex:167622 mv:15979 misc:2223 imb:215 pmb:3913 smb:496 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:17.83 aq:12.03 tex:180019 mv:18035 misc:2090 imb:251 pmb:3934 smb:439 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:17.32 aq:9.20 tex:722257 mv:27544 misc:423 imb:2375 pmb:2241 smb:8 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:17.56 aq:10.54 tex:366749 mv:24420 misc:983 imb:598 pmb:3910 smb:116 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:17.68 aq:11.92 tex:197423 mv:18744 misc:1961 imb:319 pmb:3899 smb:406 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:17.44 aq:11.73 tex:225479 mv:20007 misc:1850 imb:377 pmb:3920 smb:327 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:17.29 aq:9.57 tex:658793 mv:26823 misc:472 imb:1897 pmb:2717 smb:10 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:17.30 aq:10.47 tex:369505 mv:20500 misc:979 imb:400 pmb:4120 smb:104 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:17.31 aq:11.78 tex:214453 mv:19142 misc:1909 imb:336 pmb:3948 smb:340 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:17.30 aq:11.74 tex:201132 mv:21558 misc:2078 imb:369 pmb:3850 smb:405 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:16.83 aq:9.30 tex:820333 mv:28295 misc:388 imb:2187 pmb:2433 smb:4 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:17.06 aq:11.23 tex:390950 mv:25966 misc:908 imb:695 pmb:3846 smb:83 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:17.18 aq:11.73 tex:228727 mv:20986 misc:2279 imb:435 pmb:3725 smb:464 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:16.95 aq:11.69 tex:231629 mv:23977 misc:1930 imb:450 pmb:3814 smb:360 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:16.54 aq:8.80 tex:844955 mv:30729 misc:412 imb:2335 pmb:2288 smb:1 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:16.69 aq:10.31 tex:455407 mv:34329 misc:616 imb:629 pmb:3958 smb:37 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:16.76 aq:11.73 tex:249754 mv:25769 misc:1717 imb:358 pmb:3977 smb:289 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:16.61 aq:11.62 tex:266498 mv:26901 misc:1721 imb:358 pmb:3980 smb:286 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:16.43 aq:8.64 tex:823731 mv:29049 misc:508 imb:1599 pmb:3014 smb:11 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:16.48 aq:10.08 tex:424196 mv:29030 misc:854 imb:449 pmb:4107 smb:68 d:- ref:0 ;
